Name,taxi_st_type,taxi_st_lat,taxi_st_lon,taxi_pln_area,mrt_stn
kml_233,TAXI STAND,1.326185256,103.888472,GEYLANG,DT26
kml_234,TAXI STAND,1.440947183,103.801215,WOODLANDS,NS10
kml_235,TAXI STAND,1.359559487,103.8846255,HOUGANG,NE13
kml_236,TAXI PICK UP,1.304296291,103.8530554,ROCHOR,DT13
kml_237,TAXI STAND,1.305867283,103.8554961,ROCHOR,DT22
kml_238,TAXI STAND,1.30363755,103.8560788,ROCHOR,
kml_239,TAXI PICK UP,1.303383948,103.8526067,ROCHOR,DT13
kml_240,TAXI STOP,1.301500522,103.8523767,ROCHOR,
kml_241,TAXI STOP,1.277874312,103.8183615,BUKIT MERAH,
kml_242,TAXI STOP,1.302682719,103.8399748,ORCHARD,
kml_243,TAXI STAND,1.300976142,103.8420887,ORCHARD,
kml_244,TAXI STAND,1.300343668,103.8404106,ORCHARD,
kml_245,TAXI PICK UP,1.284303429,103.84891,OUTRAM,
kml_246,TAXI STAND,1.437241823,103.7872301,WOODLANDS,NS09
kml_247,TAXI STAND,1.428678618,103.8351337,YISHUN,NS13
kml_248,TAXI STAND,1.275871707,103.843248,OUTRAM,
kml_249,TAXI STAND,1.304704085,103.872138,KALLANG,
kml_250,TAXI STAND,1.310061936,103.7929733,QUEENSTOWN,
kml_251,TAXI STAND,1.299987282,103.8511252,ROCHOR,
kml_252,TAXI STAND,1.33774654,103.8394626,TOA PAYOH,CC17
kml_253,TAXI STAND,1.281127867,103.8521767,DOWNTOWN CORE,
kml_254,TAXI STAND,1.27880264,103.8438413,OUTRAM,
kml_255,TAXI STAND,1.443652173,103.7696006,WOODLANDS,
kml_256,TAXI STOP,1.355080208,103.9867632,CHANGI,CG2
kml_257,TAXI STAND,1.382114373,103.8443709,ANG MO KIO,NS15
kml_258,TAXI STAND,1.369924474,103.8493925,ANG MO KIO,NS16
kml_259,TAXI STAND,1.449385611,103.8202686,SEMBAWANG,NS11
kml_260,TAXI STAND,1.350751624,103.8491368,BISHAN,CC15
